EntLat,EntLng,ExtLat,ExtLng
38.901765,-76.913306,38.9022998,-76.93261669999998
38.901765,-76.913306,38.9022998,-76.93261669999998
38.901765,-76.913306,38.9338421,-76.98446769999998
38.901765,-76.913306,38.9338421,-76.98446769999998
38.901765,-76.913306,38.92816699999999,-76.91580699999997
38.901765,-76.913306,38.92816699999999,-76.91580699999997
38.901765,-76.913306,38.9340002,-76.89663969999998
38.901765,-76.913306,38.9340002,-76.89663969999998
38.901765,-76.913306,38.8851122,-76.91580679999998
38.901765,-76.913306,38.8851122,-76.91580679999998
38.901765,-76.913306,38.89912959999999,-76.94678010000001
38.901765,-76.913306,38.8968555,-76.96021869999998
38.901765,-76.913306,38.882508634366374,-77.22115867376299
38.901765,-76.913306,38.8232582,-77.2811858
38.901765,-76.913306,38.94844159053767,-77.08618973785649
38.901765,-76.913306,38.984652,-77.09470920000001
38.901765,-76.913306,38.8002425,-77.07118630000002
38.901765,-76.913306,38.766411,-77.16825790000001
38.901765,-76.913306,38.9431412,-76.95006869999997
38.901765,-76.913306,38.9559442,-76.94553009999998
38.901765,-76.913306,38.9657249,-76.8802483
38.901765,-76.913306,39.0045544,-76.87552819999996
38.901765,-76.913306,38.8485264,-76.92404220000003
38.901765,-76.913306,38.8270428,-76.9123798
38.901765,-76.913306,38.986136494789115,-77.02951514271926
38.901765,-76.913306,39.084899354644996,-77.15206860979329
38.901765,-76.913306,38.90880664033359,-77.05165046586694
38.901765,-76.913306,38.85988585430335,-77.0647452439388
38.901765,-76.913306,38.8510927,-76.95688139999999
38.901765,-76.913306,38.846877843767786,-76.99883616966586
